digital,measured_frc,raw_measured_frc,_raw_measured_frc
523330,4.42,-4.42,-8.84
522867,3.84,-3.84,-7.68
522111,3.29,-3.29,-6.57
520601,2.28,-2.28,-4.55
520515,2.23,-2.23,-4.46
521973,3.37,-3.37,-6.73
522856,3.85,-3.85,-7.70
523532,4.38,-4.38,-8.75
523676,4.42,-4.42,-8.83
522663,3.84,-3.84,-7.68
522138,3.33,-3.33,-6.65
520591,2.28,-2.28,-4.56
515339,-2.18,2.18,4.35
513162,-3.15,3.15,6.3
511763,-3.76,3.76,7.52
510482,-4.31,4.31,8.62
510272,-4.41,4.41,8.82
511660,-3.84,3.84,7.68
512606,-3.34,3.34,6.68
515027,-2.22,2.22,4.43
515106,-2.20,2.20,4.39
512870,-3.26,3.26,6.51
511569,-3.85,3.85,7.70
510286,-4.45,4.45,8.90
